directory_file_name,line_number,error_type,error_description
create-react-app\packages\react-dev-utils\launchEditor.js,158:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,159:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,160:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,161:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,162:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,163:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,164:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,165:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,165:16,error,prefer-template
create-react-app\packages\react-dev-utils\launchEditor.js,166:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,167:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,168:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,169:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,170:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,171:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,172:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,173:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,174:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,175:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,176:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,177:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,178:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,179:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,180:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,181:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,182:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,183:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,184:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,185:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,186:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,187:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,188:1,error,indent
create-react-app\packages\react-dev-utils\launchEditor.js,197:1,error,max-statements
create-react-app\packages\react-dev-utils\launchEditor.js,197:1,error,complexity
create-react-app\packages\react-dev-utils\launchEditor.js,212:45,error,no-magic-numbers
create-react-app\packages\react-dev-utils\launchEditor.js,228:57,error,no-magic-numbers
create-react-app\packages\react-dev-utils\launchEditor.js,242:45,error,no-magic-numbers
create-react-app\packages\react-dev-utils\launchEditor.js,264:15,error,prefer-template
